country,chart,indicator_id,visualisation_id,file,rows,title,data_status
HR,all,,26112424,output/by_country/HR/6_svi_indikatori.csv,3959,Ekonomski semafor: Hrvatska,upload in editor
HR,leading,,27383836,output/by_country/HR/1_vodeci_indikatori.csv,1093,Vodeće varijable Hrvatske,upload in editor
HR,supply,,27383862,output/by_country/HR/2_podudarni_proizvodnja.csv,1099,Podudarne sektorske varijable Hrvatske,upload in editor
HR,demand,,27383839,output/by_country/HR/3_podudarni_potrosnja_trgovina.csv,686,Podudarne varijable potrošnje Hrvatske,loaded
HR,external,,27383850,output/by_country/HR/4_vanjska_trgovina.csv,536,Podudarne varijable vanjske trgovine Hrvatske,loaded
HR,lagging,,27383852,output/by_country/HR/5_kasni_indikatori_stecaj.csv,682,Zaostajuće varijable poslovnog ciklusa Hrvatske,loaded
AT,all,,27400339,output/by_country/AT/6_svi_indikatori.csv,2470,Ekonomski semafor: Austrija,upload in editor
AT,leading,,27400363,output/by_country/AT/1_vodeci_indikatori.csv,690,Vodeće varijable Austrije,loaded
AT,supply,,27400450,output/by_country/AT/2_podudarni_proizvodnja.csv,824,Podudarne sektorske varijable Austrije,loaded
AT,demand,,27400418,output/by_country/AT/3_podudarni_potrosnja_trgovina.csv,549,Podudarne varijable potrošnje Austrije,loaded
AT,external,,27400401,,0,Podudarne varijable vanjske trgovine Austrije,no data
AT,lagging,,27400382,output/by_country/AT/5_kasni_indikatori_stecaj.csv,544,Zaostajuće varijable poslovnog ciklusa Austrije,loaded
BE,all,,27400516,output/by_country/BE/6_svi_indikatori.csv,3292,Ekonomski semafor: Belgija,upload in editor
BE,leading,,27400520,output/by_country/BE/1_vodeci_indikatori.csv,827,Vodeće varijable Belgije,loaded
BE,supply,,27400529,output/by_country/BE/2_podudarni_proizvodnja.csv,824,Podudarne sektorske varijable Belgije,loaded
BE,demand,,27400528,output/by_country/BE/3_podudarni_potrosnja_trgovina.csv,549,Podudarne varijable potrošnje Belgije,loaded
BE,external,,27400524,output/by_country/BE/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Belgije,loaded
BE,lagging,,27400521,output/by_country/BE/5_kasni_indikatori_stecaj.csv,681,Zaostajuće varijable poslovnog ciklusa Belgije,loaded
BG,all,,27400658,output/by_country/BG/6_svi_indikatori.csv,3150,Ekonomski semafor: Bugarska,upload in editor
BG,leading,,27400661,output/by_country/BG/1_vodeci_indikatori.csv,831,Vodeće varijable Bugarske,loaded
BG,supply,,27400669,output/by_country/BG/2_podudarni_proizvodnja.csv,684,Podudarne sektorske varijable Bugarske,loaded
BG,demand,,27400665,output/by_country/BG/3_podudarni_potrosnja_trgovina.csv,680,Podudarne varijable potrošnje Bugarske,loaded
BG,external,,27400663,output/by_country/BG/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Bugarske,loaded
BG,lagging,,27400662,output/by_country/BG/5_kasni_indikatori_stecaj.csv,544,Zaostajuće varijable poslovnog ciklusa Bugarske,loaded
EE,all,,27400722,output/by_country/EE/6_svi_indikatori.csv,2733,Ekonomski semafor: Estonija,upload in editor
EE,leading,,27400723,output/by_country/EE/1_vodeci_indikatori.csv,681,Vodeće varijable Estonije,loaded
EE,supply,,27400729,output/by_country/EE/2_podudarni_proizvodnja.csv,548,Podudarne sektorske varijable Estonije,loaded
EE,demand,,27400728,output/by_country/EE/3_podudarni_potrosnja_trgovina.csv,549,Podudarne varijable potrošnje Estonije,loaded
EE,external,,27400727,output/by_country/EE/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Estonije,loaded
EE,lagging,,27400724,output/by_country/EE/5_kasni_indikatori_stecaj.csv,544,Zaostajuće varijable poslovnog ciklusa Estonije,loaded
FI,all,,27400913,output/by_country/FI/6_svi_indikatori.csv,3293,Ekonomski semafor: Finska,upload in editor
FI,leading,,27400914,output/by_country/FI/1_vodeci_indikatori.csv,690,Vodeće varijable Finske,loaded
FI,supply,,27400915,output/by_country/FI/2_podudarni_proizvodnja.csv,961,Podudarne sektorske varijable Finske,loaded
FI,demand,,27400916,output/by_country/FI/3_podudarni_potrosnja_trgovina.csv,687,Podudarne varijable potrošnje Finske,loaded
FI,external,,27400917,output/by_country/FI/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Finske,loaded
FI,lagging,,27400918,output/by_country/FI/5_kasni_indikatori_stecaj.csv,544,Zaostajuće varijable poslovnog ciklusa Finske,loaded
FR,all,,27401082,output/by_country/FR/6_svi_indikatori.csv,3434,Ekonomski semafor: Francuska,upload in editor
FR,leading,,27401081,output/by_country/FR/1_vodeci_indikatori.csv,831,Vodeće varijable Francuske,loaded
FR,supply,,27401087,output/by_country/FR/2_podudarni_proizvodnja.csv,824,Podudarne sektorske varijable Francuske,loaded
FR,demand,,27401085,output/by_country/FR/3_podudarni_potrosnja_trgovina.csv,686,Podudarne varijable potrošnje Francuske,loaded
FR,external,,27401083,output/by_country/FR/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Francuske,loaded
FR,lagging,,27401079,output/by_country/FR/5_kasni_indikatori_stecaj.csv,682,Zaostajuće varijable poslovnog ciklusa Francuske,loaded
EL,all,,27401157,output/by_country/EL/6_svi_indikatori.csv,2734,Ekonomski semafor: Grčka,upload in editor
EL,leading,,27401159,output/by_country/EL/1_vodeci_indikatori.csv,690,Vodeće varijable Grčke,loaded
EL,supply,,27401150,output/by_country/EL/2_podudarni_proizvodnja.csv,681,Podudarne sektorske varijable Grčke,loaded
EL,demand,,27401152,output/by_country/EL/3_podudarni_potrosnja_trgovina.csv,539,Podudarne varijable potrošnje Grčke,loaded
EL,external,,27401155,output/by_country/EL/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Grčke,loaded
EL,lagging,,27401162,output/by_country/EL/5_kasni_indikatori_stecaj.csv,410,Zaostajuće varijable poslovnog ciklusa Grčke,loaded
IT,all,,27401213,output/by_country/IT/6_svi_indikatori.csv,3017,Ekonomski semafor: Italija,upload in editor
IT,leading,,27401212,output/by_country/IT/1_vodeci_indikatori.csv,690,Vodeće varijable Italije,loaded
IT,supply,,27401209,output/by_country/IT/2_podudarni_proizvodnja.csv,823,Podudarne sektorske varijable Italije,loaded
IT,demand,,27401215,output/by_country/IT/3_podudarni_potrosnja_trgovina.csv,549,Podudarne varijable potrošnje Italije,loaded
IT,external,,27401214,output/by_country/IT/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Italije,loaded
IT,lagging,,27401211,output/by_country/IT/5_kasni_indikatori_stecaj.csv,544,Zaostajuće varijable poslovnog ciklusa Italije,loaded
LV,all,,27401290,output/by_country/LV/6_svi_indikatori.csv,3431,Ekonomski semafor: Latvija,upload in editor
LV,leading,,27401291,output/by_country/LV/1_vodeci_indikatori.csv,830,Vodeće varijable Latvije,loaded
LV,supply,,27401287,output/by_country/LV/2_podudarni_proizvodnja.csv,823,Podudarne sektorske varijable Latvije,loaded
