country,indicator,method,revision_realtime_vs_final_pp,peaks,troughs,peak_shift_vs_hp_months,trough_shift_vs_hp_months,trough_2020_pp,trough_2009_pp,ratio_2020_to_2009,first_month,last_month
HR,gdp,hp,0.834,17,19,0.0,0.0,-18.41,-2.34,7.85,1995-01-01,2026-06-01
HR,gdp,hp_onesided,0.0,13,12,3.8,1.4,-17.68,-8.44,2.1,1997-12-01,2026-06-01
HR,gdp,baxter_king,0.0,16,16,2.1,0.5,-18.53,-2.28,8.13,1998-01-01,2023-06-01
HR,gdp,christiano_fitzgerald,0.189,17,18,1.1,0.7,-18.04,-3.06,5.89,1995-01-01,2026-06-01
HR,gdp,hamilton,0.702,16,15,5.9,3.5,-19.55,-13.67,1.43,1997-12-01,2026-06-01
HR,gdp,bn_ucm,0.083,30,30,7.5,5.7,-2.47,-0.45,5.5,1995-01-01,2026-06-01
HR,industrial_production,hp,0.578,17,17,0.0,0.0,-12.7,-2.5,5.08,1998-01-01,2026-07-01
HR,industrial_production,hp_onesided,0.0,13,13,3.5,3.2,-12.48,-10.68,1.17,2000-12-01,2026-07-01
HR,industrial_production,baxter_king,0.0,11,13,0.1,1.4,-12.65,-2.66,4.76,2001-01-01,2023-07-01
HR,industrial_production,christiano_fitzgerald,1.605,17,17,1.2,0.7,-13.28,-3.39,3.92,1998-01-01,2026-07-01
HR,industrial_production,hamilton,0.403,13,15,3.0,3.3,-11.44,-8.37,1.37,2000-12-01,2026-07-01
HR,industrial_production,bn_ucm,0.599,21,21,4.1,5.0,-6.78,-3.35,2.02,1998-01-01,2026-07-01
DE,gdp,hp,0.113,18,18,0.0,0.0,-9.6,-4.45,2.16,1991-01-01,2026-06-01
DE,gdp,hp_onesided,0.0,17,16,2.6,0.9,-10.81,-5.95,1.82,1993-12-01,2026-06-01
DE,gdp,baxter_king,0.0,15,14,0.0,0.5,-9.49,-4.65,2.04,1994-01-01,2023-06-01
DE,gdp,christiano_fitzgerald,0.151,17,18,0.1,1.0,-9.72,-4.83,2.01,1991-01-01,2026-06-01
DE,gdp,hamilton,0.155,19,17,4.1,3.2,-10.7,-7.17,1.49,1993-12-01,2026-06-01
DE,gdp,bn_ucm,0.031,40,40,6.7,7.9,-2.97,-0.53,5.65,1991-01-01,2026-06-01
DE,industrial_production,hp,0.295,17,16,0.0,0.0,-7.88,-13.93,0.57,1991-01-01,2026-06-01
DE,industrial_production,hp_onesided,0.0,15,15,5.9,1.7,-11.88,-20.77,0.57,1993-12-01,2026-06-01
DE,industrial_production,baxter_king,0.0,16,13,0.2,0.2,-7.63,-13.91,0.55,1994-01-01,2023-06-01
DE,industrial_production,christiano_fitzgerald,0.444,17,15,3.4,0.8,-7.63,-14.8,0.52,1991-01-01,2026-06-01
DE,industrial_production,hamilton,0.217,18,14,4.1,4.1,-12.21,-15.93,0.77,1993-12-01,2026-06-01
DE,industrial_production,bn_ucm,0.152,30,34,9.9,7.6,-1.05,-3.75,0.28,1991-01-01,2026-06-01
EA20,gdp,hp,0.353,9,10,0.0,0.0,-15.31,-2.88,5.31,1995-01-01,2026-06-01
EA20,gdp,hp_onesided,0.0,9,9,9.0,2.0,-16.34,-5.42,3.01,1997-12-01,2026-06-01
EA20,gdp,baxter_king,0.0,8,8,1.2,2.6,-15.28,-3.02,5.06,1998-01-01,2023-06-01
EA20,gdp,christiano_fitzgerald,0.179,10,9,3.8,1.8,-15.4,-3.45,4.47,1995-01-01,2026-06-01
EA20,gdp,hamilton,0.189,10,8,5.7,5.5,-16.19,-6.78,2.39,1997-12-01,2026-06-01
EA20,gdp,bn_ucm,0.054,33,34,10.0,10.4,-6.36,-0.3,21.39,1995-01-01,2026-06-01
EA20,industrial_production,hp,0.157,14,13,0.0,0.0,-11.63,-13.23,0.88,1991-01-01,2026-06-01
EA20,industrial_production,hp_onesided,0.0,13,12,2.5,1.2,-13.28,-16.58,0.8,1993-12-01,2026-06-01
EA20,industrial_production,baxter_king,0.0,12,11,0.2,0.5,-11.52,-13.35,0.86,1994-01-01,2023-06-01
EA20,industrial_production,christiano_fitzgerald,0.337,14,14,0.2,1.5,-11.49,-13.92,0.83,1991-01-01,2026-06-01
EA20,industrial_production,hamilton,0.044,11,11,4.2,4.5,-11.89,-17.52,0.68,1993-12-01,2026-06-01
EA20,industrial_production,bn_ucm,0.317,14,13,1.0,0.4,-10.35,-12.31,0.84,1991-01-01,2026-06-01
